IATA,Airline,Country_Region
AA,American Airlines,United States
AC,Air Canada,Canada
AD,Azul Linhas Aéreas Brasileiras,Brazil
AE,Mandarin Airlines,Taiwan
AF,Air France,France
AG,ASL Airlines Ireland,Ireland
AH,Air Algérie,Algeria
AK,AirAsia,Malaysia
AL,Skywalk Airlines,United States
AM,Aeroméxico,Mexico
AN,Advanced Air,United States
AO,Australian Airlines,Australia
AP,AlbaStar,Spain
AQ,9 Air,China
AR,Aerolíneas Argentinas,Argentina
AS,"Alaska Airlines, Inc.",United States
AT,Royal Air Maroc,Morocco
AU,Austral Líneas Aéreas,Argentina
AV,Avianca,Colombia
AW,Africa World Airlines,Ghana
AX,Trans States Airlines,United States
AY,Finnair,Finland
AZ,ITA Airways,Italy
BA,British Airways,United Kingdom
BB,Seaborne Airlines,United States
BC,Skymark Airlines,Japan
BE,Flybe,United Kingdom
BF,MarkAir,United States
BG,Biman Bangladesh Airlines,Bangladesh
BI,Royal Brunei Airlines,Brunei
BJ,Nouvel Air Tunisie,Tunisia
BK,Potomac Air,United States
BL,Pacific Airlines,Vietnam
BM,BMI Regional,United Kingdom
BN,Forward Air International Airlines,United States
BO,Bluebird Nordic,Iceland
BP,Air Botswana,Botswana
BQ,Baltia Air Lines,United States
BR,EVA Air,Taiwan
BS,British International Helicopters,United Kingdom
BT,Air Baltic,Latvia
BU,Buryat Airlines Aircompany,Russia
BV,Blue Panorama Airlines,Italy
BW,Caribbean Airlines,Trinidad and Tobago
BX,Air Busan,South Korea
BY,TUI  Airways,United Kingdom
BZ,Keystone Air Service,Canada
CA,Air China,China
CB,Kalitta Charters II,United States
CC,Air Atlanta Icelandic,Iceland
CD,Corendon Dutch Airlines,Netherlands
CE,Nationwide Airlines,South Africa
CG,Airlines PNG,Papua New Guinea
CH,Bemidji Airlines,United States
CI,China Airlines,Taiwan
CJ,BA CityFlyer,United Kingdom
